Game,Fc_new,Fc,Fc_delta,Fg,Q_new,Q,Q_delta,Uc_new,Uc,Uc_delta,Ug_new,Ug,Ug_delta,Cc_new,Cc,Cc_delta,Cg_new,Cg,Cg_delta
Bike Rider,1300,1200,100,177,40.565724,40.382696,0.183028,35.996672,39.0599,-3.063228,100,100,0,23.3978368,23.43594,-0.0381032,32.59668508,32.59668508,0
Bike Rider,1300,1200,100,266,59.700499,60.066667,-0.366168,53.206323,57.008333,-3.80201,99.870216,99.983333,-0.113117,34.58410995,34.2049998,0.37911015,48.92353123,48.97894397,-0.055412748
Bike Rider,1300,1200,100,350,60.066667,60.066667,0,54.218333,57.831667,-3.613334,88.453333,88.253333,0.2,35.24191645,34.6990002,0.54291625,57.01411888,56.88520543,0.128913444
Bike Rider,1300,1200,100,420,60.05,60.066667,-0.016667,55.178333,58.873333,-3.695,80.74,80.625,0.115,35.86591645,35.3239998,0.54191665,62.45082873,62.36187845,0.088950276
Bike Rider,1300,1200,100,480,60.066667,60.066556,0.000111,55.673333,58.981697,-3.308364,74.935,75.186356,-0.251356,36.18766645,35.3890182,0.79864825,66.24088398,66.46307713,-0.222193149
Bike Rider,1300,1200,100,543,60.066556,60.066667,-0.000111,56.101498,59.32,-3.218502,71.048253,70.813333,0.23492,36.4659737,35.592,0.8739737,71.048253,70.813333,0.23492
Bike Rider,1400,1200,200,177,40.599002,40.382696,0.216306,34.595674,39.0599,-4.464226,100,100,0,24.2169718,23.43594,0.7810318,32.59668508,32.59668508,0
Bike Rider,1400,1200,200,266,59.716667,60.066667,-0.35,51.021667,57.008333,-5.986666,99.911667,99.983333,-0.071666,35.7151669,34.2049998,1.5101671,48.94383687,48.97894397,-0.035107101
Bike Rider,1400,1200,200,350,60.049917,60.066667,-0.01675,52.427621,57.831667,-5.404046,88.603993,88.253333,0.35066,36.6993347,34.6990002,2.0003345,57.11122937,56.88520543,0.226023941
Bike Rider,1400,1200,200,420,60.066667,60.066667,0,53.066667,58.873333,-5.806666,80.771667,80.625,0.146667,37.1466669,35.3239998,1.8226671,62.47532254,62.36187845,0.113444088
Bike Rider,1400,1200,200,480,60.05,60.066556,-0.016556,53.466667,58.981697,-5.51503,75.01,75.186356,-0.176356,37.4266669,35.3890182,2.0376487,66.30718232,66.46307713,-0.155894807
Bike Rider,1400,1200,200,543,60.066556,60.066667,-0.000111,54.003328,59.32,-5.316672,72.379368,70.813333,1.566035,37.8023296,35.592,2.2103296,72.379368,70.813333,1.566035
Bike Rider,1500,1200,300,177,40.732113,40.382696,0.349417,33.083195,39.0599,-5.976705,100,100,0,24.81239625,23.43594,1.37645625,32.59668508,32.59668508,0
Bike Rider,1500,1200,300,266,59.216667,60.066667,-0.85,48.433333,57.008333,-8.575,99.921667,99.983333,-0.061666,36.32499975,34.2049998,2.11999995,48.94873558,48.97894397,-0.03020839
Bike Rider,1500,1200,300,350,60.05,60.066667,-0.016667,49.863333,57.831667,-7.968334,88.49,88.253333,0.236667,37.39749975,34.6990002,2.69849955,57.03775322,56.88520543,0.15254779
Bike Rider,1500,1200,300,420,60.066556,60.066667,-0.000111,50.678869,58.873333,-8.194464,81.12812,80.625,0.50312,38.00915175,35.3239998,2.68515195,62.75103204,62.36187845,0.389153591
Bike Rider,1500,1200,300,480,60.066556,60.066556,0,51.259567,58.981697,-7.72213,75.332779,75.186356,0.146423,38.44467525,35.3890182,3.05565705,66.59251182,66.46307713,0.129434696
Bike Rider,1500,1200,300,543,60.066556,60.066667,-0.000111,51.677205,59.32,-7.642795,71.638935,70.813333,0.825602,38.75790375,35.592,3.16590375,71.638935,70.813333,0.825602
Bike Rider,1600,1200,400,177,40.78203,40.382696,0.399334,31.690516,39.0599,-7.369384,100,100,0,25.3524128,23.43594,1.9164728,32.59668508,32.59668508,0
Bike Rider,1600,1200,400,266,58.566667,60.066667,-1.5,45.433333,57.008333,-11.575,99.89,99.983333,-0.093333,36.3466664,34.2049998,2.1416666,48.93322284,48.97894397,-0.045721138
Bike Rider,1600,1200,400,350,60.05,60.066667,-0.016667,48.328333,57.831667,-9.503334,88.843333,88.253333,0.59,38.6626664,34.6990002,3.9636662,57.26550009,56.88520543,0.380294659
Bike Rider,1600,1200,400,420,60.049917,60.066667,-0.01675,48.603993,58.873333,-10.26934,81.118136,80.625,0.493136,38.8831944,35.3239998,3.5591946,62.74330961,62.36187845,0.38143116
Bike Rider,1600,1200,400,480,60.049917,60.066556,-0.016639,49.810316,58.981697,-9.171381,76.427621,75.186356,1.241265,39.8482528,35.3890182,4.4592346,67.56032796,66.46307713,1.097250829
Bike Rider,1600,1200,400,543,60.05,60.066667,-0.016667,50.04,59.32,-9.28,72.356667,70.813333,1.543334,40.032,35.592,4.44,72.356667,70.813333,1.543334
Bike Rider,1700,1200,500,177,40.8,40.382696,0.417304,30.24,39.0599,-8.8199,100,100,0,25.704,23.43594,2.26806,32.59668508,32.59668508,0
Bike Rider,1700,1200,500,266,58.683333,60.066667,-1.383334,43.283333,57.008333,-13.725,99.926667,99.983333,-0.056666,36.79083305,34.2049998,2.58583325,48.95118494,48.97894397,-0.027759035
Bike Rider,1700,1200,500,350,60.066556,60.066667,-0.000111,46.091514,57.831667,-11.740153,88.958403,88.253333,0.70507,39.1777869,34.6990002,4.4787867,57.33967044,56.88520543,0.454465009
Bike Rider,1700,1200,500,420,60.049917,60.066667,-0.01675,46.514143,58.873333,-12.35919,81.515807,80.625,0.890807,39.53702155,35.3239998,4.21302175,63.05090044,62.36187845,0.689021989
Bike Rider,1700,1200,500,480,60.05,60.066556,-0.016556,47.261667,58.981697,-11.72003,75.883333,75.186356,0.696977,40.17241695,35.3890182,4.78339875,67.07918939,66.46307713,0.616112265
Bike Rider,1700,1200,500,543,60.05,60.066667,-0.016667,47.853333,59.32,-11.466667,71.478333,70.813333,0.665,40.67533305,35.592,5.08333305,71.478333,70.813333,0.665
Bike Rider,1800,1200,600,177,40.915141,40.382696,0.532445,29.560732,39.0599,-9.499168,100,100,0,26.6046588,23.43594,3.1687188,32.59668508,32.59668508,0
Bike Rider,1800,1200,600,266,59.417637,60.066667,-0.64903,43.567388,57.008333,-13.440945,99.936772,99.983333,-0.046561,39.2106492,34.2049998,5.0056494,48.95613509,48.97894397,-0.022808888
Bike Rider,1800,1200,600,350,60.049917,60.066667,-0.01675,44.700499,57.831667,-13.131168,88.996672,88.253333,0.743339,40.2304491,34.6990002,5.5314489,57.36433738,56.88520543,0.479131952
Bike Rider,1800,1200,600,420,60.049917,60.066667,-0.01675,45.650582,58.873333,-13.222751,81.795341,80.625,1.170341,41.0855238,35.3239998,5.761524,63.26711459,62.36187845,0.905236133
Bike Rider,1800,1200,600,480,60.066556,60.066556,0,46.775374,58.981697,-12.206323,75.950083,75.186356,0.763727,42.0978366,35.3890182,6.7088184,67.13819492,66.46307713,0.67511779
Bike Rider,1800,1200,600,543,60.066556,60.066667,-0.000111,46.797005,59.32,-12.522995,71.868552,70.813333,1.055219,42.1173045,35.592,6.5253045,71.868552,70.813333,1.055219
Bike Rider,1900,1200,700,177,38.319468,40.382696,-2.063228,27.434276,39.0599,-11.625624,100,100,0,26.0625622,23.43594,2.6266222,32.59668508,32.59668508,0
Bike Rider,1900,1200,700,266,54.159734,60.066667,-5.906933,38.870216,57.008333,-18.138117,99.515807,99.983333,-0.467526,36.9267052,34.2049998,2.7217054,48.7499165,48.97894397,-0.22902747
Bike Rider,1900,1200,700,350,60.016639,60.066667,-0.050028,44.56406,57.831667,-13.267607,95.552413,88.253333,7.29908,42.335857,34.6990002,7.6368568,61.58995313,56.88520543,4.704747698
