Game,Fg_new,Fg,Fg_delta,Fc,Q_new,Q,Q_delta,Ug_new,Ug,Ug_delta,Uc_new,Uc,Uc_delta,Cg_new,Cg,Cg_delta,Cc_new,Cc,Cc_delta
Bike Rider,266,177,89,1200,60.066667,40.382696,19.683971,99.983333,100,-0.016667,57.008333,39.0599,17.948433,48.97894397,32.59668508,16.38225889,34.2049998,23.43594,10.7690598
Bike Rider,266,177,89,1300,59.700499,40.565724,19.134775,99.870216,100,-0.129784,53.206323,35.996672,17.209651,48.92353123,32.59668508,16.32684614,34.58410995,23.3978368,11.18627315
Bike Rider,266,177,89,1400,59.716667,40.599002,19.117665,99.911667,100,-0.088333,51.021667,34.595674,16.425993,48.94383687,32.59668508,16.34715179,35.7151669,24.2169718,11.4981951
Bike Rider,266,177,89,1500,59.216667,40.732113,18.484554,99.921667,100,-0.078333,48.433333,33.083195,15.350138,48.94873558,32.59668508,16.3520505,36.32499975,24.81239625,11.5126035
Bike Rider,266,177,89,1600,58.566667,40.78203,17.784637,99.89,100,-0.11,45.433333,31.690516,13.742817,48.93322284,32.59668508,16.33653775,36.3466664,25.3524128,10.9942536
Bike Rider,266,177,89,1700,58.683333,40.8,17.883333,99.926667,100,-0.073333,43.283333,30.24,13.043333,48.95118494,32.59668508,16.35449986,36.79083305,25.704,11.08683305
Bike Rider,266,177,89,1800,59.417637,40.915141,18.502496,99.936772,100,-0.063228,43.567388,29.560732,14.006656,48.95613509,32.59668508,16.35945,39.2106492,26.6046588,12.6059904
Bike Rider,266,177,89,1900,54.159734,38.319468,15.840266,99.515807,100,-0.484193,38.870216,27.434276,11.43594,48.7499165,32.59668508,16.15323142,36.9267052,26.0625622,10.864143
Bike Rider,266,177,89,2000,54.409318,38.366667,16.042651,99.758735,100,-0.241265,37.327787,26.291667,11.03612,48.86891991,32.59668508,16.27223483,37.327787,26.291667,11.03612
Bike Rider,350,177,173,1200,60.066667,40.382696,19.683971,88.253333,100,-11.746667,57.831667,39.0599,18.771767,56.88520543,32.59668508,24.28852035,34.6990002,23.43594,11.2630602
Bike Rider,350,177,173,1300,60.066667,40.565724,19.500943,88.453333,100,-11.546667,54.218333,35.996672,18.221661,57.01411888,32.59668508,24.41743379,35.24191645,23.3978368,11.84407965
Bike Rider,350,177,173,1400,60.049917,40.599002,19.450915,88.603993,100,-11.396007,52.427621,34.595674,17.831947,57.11122937,32.59668508,24.51454429,36.6993347,24.2169718,12.4823629
Bike Rider,350,177,173,1500,60.05,40.732113,19.317887,88.49,100,-11.51,49.863333,33.083195,16.780138,57.03775322,32.59668508,24.44106814,37.39749975,24.81239625,12.5851035
Bike Rider,350,177,173,1600,60.05,40.78203,19.26797,88.843333,100,-11.156667,48.328333,31.690516,16.637817,57.26550009,32.59668508,24.66881501,38.6626664,25.3524128,13.3102536
Bike Rider,350,177,173,1700,60.066556,40.8,19.266556,88.958403,100,-11.041597,46.091514,30.24,15.851514,57.33967044,32.59668508,24.74298536,39.1777869,25.704,13.4737869
Bike Rider,350,177,173,1800,60.049917,40.915141,19.134776,88.996672,100,-11.003328,44.700499,29.560732,15.139767,57.36433738,32.59668508,24.7676523,40.2304491,26.6046588,13.6257903
Bike Rider,350,177,173,1900,60.016639,38.319468,21.697171,95.552413,100,-4.447587,44.56406,27.434276,17.129784,61.58995313,32.59668508,28.99326805,42.335857,26.0625622,16.2732948
Bike Rider,350,177,173,2000,60.016639,38.366667,21.649972,96.09817,100,-3.90183,42.965058,26.291667,16.673391,61.9417302,32.59668508,29.34504512,42.965058,26.291667,16.673391
Bike Rider,420,177,243,1200,60.066667,40.382696,19.683971,80.625,100,-19.375,58.873333,39.0599,19.813433,62.36187845,32.59668508,29.76519337,35.3239998,23.43594,11.8880598
Bike Rider,420,177,243,1300,60.05,40.565724,19.484276,80.74,100,-19.26,55.178333,35.996672,19.181661,62.45082873,32.59668508,29.85414365,35.86591645,23.3978368,12.46807965
Bike Rider,420,177,243,1400,60.066667,40.599002,19.467665,80.771667,100,-19.228333,53.066667,34.595674,18.470993,62.47532254,32.59668508,29.87863746,37.1466669,24.2169718,12.9296951
Bike Rider,420,177,243,1500,60.066556,40.732113,19.334443,81.12812,100,-18.87188,50.678869,33.083195,17.595674,62.75103204,32.59668508,30.15434696,38.00915175,24.81239625,13.1967555
Bike Rider,420,177,243,1600,60.049917,40.78203,19.267887,81.118136,100,-18.881864,48.603993,31.690516,16.913477,62.74330961,32.59668508,30.14662453,38.8831944,25.3524128,13.5307816
Bike Rider,420,177,243,1700,60.049917,40.8,19.249917,81.515807,100,-18.484193,46.514143,30.24,16.274143,63.05090044,32.59668508,30.45421536,39.53702155,25.704,13.83302155
Bike Rider,420,177,243,1800,60.049917,40.915141,19.134776,81.795341,100,-18.204659,45.650582,29.560732,16.08985,63.26711459,32.59668508,30.6704295,41.0855238,26.6046588,14.480865
Bike Rider,420,177,243,1900,59.933333,38.319468,21.613865,87.801667,100,-12.198333,45.188333,27.434276,17.754057,67.9128916,32.59668508,35.31620652,42.92891635,26.0625622,16.86635415
Bike Rider,420,177,243,2000,59.8,38.366667,21.433333,87.436667,100,-12.563333,43.805,26.291667,17.513333,67.63057116,32.59668508,35.03388608,43.805,26.291667,17.513333
Bike Rider,480,177,303,1200,60.066556,40.382696,19.68386,75.186356,100,-24.813644,58.981697,39.0599,19.921797,66.46307713,32.59668508,33.86639204,35.3890182,23.43594,11.9530782
Bike Rider,480,177,303,1300,60.066667,40.565724,19.500943,74.935,100,-25.065,55.673333,35.996672,19.676661,66.24088398,32.59668508,33.6441989,36.18766645,23.3978368,12.78982965
Bike Rider,480,177,303,1400,60.05,40.599002,19.450998,75.01,100,-24.99,53.466667,34.595674,18.870993,66.30718232,32.59668508,33.71049724,37.4266669,24.2169718,13.2096951
Bike Rider,480,177,303,1500,60.066556,40.732113,19.334443,75.332779,100,-24.667221,51.259567,33.083195,18.176372,66.59251182,32.59668508,33.99582674,38.44467525,24.81239625,13.632279
Bike Rider,480,177,303,1600,60.049917,40.78203,19.267887,76.427621,100,-23.572379,49.810316,31.690516,18.1198,67.56032796,32.59668508,34.96364287,39.8482528,25.3524128,14.49584
Bike Rider,480,177,303,1700,60.05,40.8,19.25,75.883333,100,-24.116667,47.261667,30.24,17.021667,67.07918939,32.59668508,34.48250431,40.17241695,25.704,14.46841695
Bike Rider,480,177,303,1800,60.066556,40.915141,19.151415,75.950083,100,-24.049917,46.775374,29.560732,17.214642,67.13819492,32.59668508,34.54150983,42.0978366,26.6046588,15.4931778
Bike Rider,480,177,303,1900,59.650582,38.319468,21.331114,82.946755,100,-17.053245,45.574043,27.434276,18.139767,73.32309834,32.59668508,40.72641326,43.29534085,26.0625622,17.23277865
Bike Rider,480,177,303,2000,59.75,38.366667,21.383333,83.151667,100,-16.848333,44.44,26.291667,18.148333,73.50423602,32.59668508,40.90755094,44.44,26.291667,18.148333
Bike Rider,543,177,366,1200,60.066667,40.382696,19.683971,70.813333,100,-29.186667,59.32,39.0599,20.2601,70.813333,32.59668508,38.21664792,35.592,23.43594,12.15606
Bike Rider,543,177,366,1300,60.066556,40.565724,19.500832,71.048253,100,-28.951747,56.101498,35.996672,20.104826,71.048253,32.59668508,38.45156792,36.4659737,23.3978368,13.0681369
Bike Rider,543,177,366,1400,60.066556,40.599002,19.467554,72.379368,100,-27.620632,54.003328,34.595674,19.407654,72.379368,32.59668508,39.78268292,37.8023296,24.2169718,13.5853578
Bike Rider,543,177,366,1500,60.066556,40.732113,19.334443,71.638935,100,-28.361065,51.677205,33.083195,18.59401,71.638935,32.59668508,39.04224992,38.75790375,24.81239625,13.9455075
Bike Rider,543,177,366,1600,60.05,40.78203,19.26797,72.356667,100,-27.643333,50.04,31.690516,18.349484,72.356667,32.59668508,39.75998192,40.032,25.3524128,14.6795872
